,Location,Latitude,Longitude,X,Y
0,Aundh,18.558006,73.807518,6273.63903,2041.3806599999998
1,Baner,18.559004,73.786766,6271.87511,2041.4904400000003
2,Bavdhan,18.515604,73.781906,6271.46201,2036.71644
3,Bhosari,18.64345,73.84679,6276.97715,2050.7795
4,Bibwewadi,18.46989,73.86462,6278.4927,2031.6879
5,Hadapsar,18.526967,73.9278252,6283.865142,2037.9663699999999
6,Hinjewadi,18.60192,73.72494,6266.619900000001,2046.2112
7,Kalyani Nagar,18.55634,73.90374,6281.8179,2041.1973999999998
8,Kharadi,18.55431,73.94323,6285.17455,2040.9741000000001
9,Kondhwa,18.47083,73.88951,6280.60835,2031.7912999999999
10,Koregaon Park,18.53949,73.89374,6280.9679,2039.3439
11,Kothrud,18.50763,73.80775,6273.65875,2035.8392999999999
12,Magarpatta,18.51709,73.92539,6283.658149999999,2036.8799
13,Narhe,18.45006,73.82374,6275.0179,2029.5066000000002
14,Nigdi,18.64703,73.76611,6270.11935,2051.1733
15,PCMC,18.60327,73.79249,6272.36165,2046.3596999999997
16,Pimple Saudagar,18.58795,73.79498,6272.5733,2044.6744999999999
17,Pimpri Chinchwad,18.60327,73.79249,6272.36165,2046.3596999999997
18,Shivaji Nagar,18.53213,73.8444,6276.773999999999,2038.5342999999998
19,Sinhgad,18.45732,73.8042,6273.357,2030.3052
20,Swargate,18.50209,73.86376,6278.4196,2035.2298999999998
21,Viman Nagar,18.56698,73.91577,6282.84045,2042.3678
22,Vishrantwadi,18.57302,73.87815,6279.642750000001,2043.0321999999999
23,Wagholi,18.57685,73.96718,6287.2103,2043.4535
24,Wakad,18.60144,73.76434,6269.968900000001,2046.1584
25,Warje,18.48521,73.79458,6272.5392999999995,2033.3730999999998
